,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
10,0.508725643157959,0.11219244003295899,0.0,0.0,0.1,"(200,)",12,"{'filter__n': 12, 'NN__hidden_layer_sizes': (200,), 'NN__alpha': 0.1}",133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057171887463452455,0.009744932514021039,0.0,0.0
11,0.5408471584320068,0.10954141616821289,0.0,0.0,0.1,"(200,)",13,"{'filter__n': 13, 'NN__hidden_layer_sizes': (200,), 'NN__alpha': 0.1}",133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021551405739046382,0.0041596172785415535,0.0,0.0
12,0.4979241371154785,0.11340665817260742,0.0,0.0,0.1,"(200,)",14,"{'filter__n': 14, 'NN__hidden_layer_sizes': (200,), 'NN__alpha': 0.1}",133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060340315051397704,0.009843846049729665,0.0,0.0
13,0.5209319591522217,0.10779900550842285,0.0,0.0,0.1,"(200,)",15,"{'filter__n': 15, 'NN__hidden_layer_sizes': (200,), 'NN__alpha': 0.1}",133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027472644293463133,0.0041941629154037706,0.0,0.0
14,0.4700963497161865,0.11151328086853027,0.09722536640704883,0.09648540958831404,0.1,"(100,)",2,"{'filter__n': 2, 'NN__hidden_layer_sizes': (100,), 'NN__alpha': 0.1}",111,0.0,0.15267175572519073,0.06250000000000006,0.12403100775193791,0.06451612903225805,0.07874015748031479,0.23529411764705874,0.06349206349206336,0.12499999999999994,0.06349206349206336,0.046854202082880804,0.00809786385235667,0.0794296586156065,0.03579855085344983
15,0.48142299652099607,0.10656151771545411,0.0,0.0,0.1,"(100,)",3,"{'filter__n': 3, 'NN__hidden_layer_sizes': (100,), 'NN__alpha': 0.1}",133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05828010602590849,0.0028492798314811883,0.0,0.0
16,0.4838541507720947,0.10616073608398438,0.0,0.0,0.1,"(100,)",4,"{'filter__n': 4, 'NN__hidden_layer_sizes': (100,), 'NN__alpha': 0.1}",133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05668034008317698,0.002967204023753112,0.0,0.0
17,0.5067008018493653,0.10636110305786133,0.49223763100031726,0.5168329186362928,0.1,"(100,)",5,"{'filter__n': 5, 'NN__hidden_layer_sizes': (100,), 'NN__alpha': 0.1}",61,0.3243243243243245,0.4585987261146494,0.1764705882352942,0.23357664233576628,0.4980645161290322,0.6739130434782604,0.8,0.597160195255122,0.6666666666666666,0.6209159859976657,0.0205304711919142,0.0021286737276226407,0.22508628158820745,0.15848360239659257
18,0.4736499786376953,0.11116032600402832,0.4752718634859394,0.49491105857015805,0.1,"(100,)",6,"{'filter__n': 6, 'NN__hidden_layer_sizes': (100,), 'NN__alpha': 0.1}",62,0.5499645641389087,0.5931862276662894,0.5662325999101931,0.6235084693905923,0.5835562274683103,0.6289302978969543,0.675120244862265,0.6289302978969543,0.0,0.0,0.020183952369495807,0.005564431238018026,0.241032457110648,0.24781225629298215
19,0.48632001876831055,0.1094637393951416,0.0,0.0,0.1,"(100,)",7,"{'filter__n': 7, 'NN__hidden_layer_sizes': (100,), 'NN__alpha': 0.1}",133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03936809678589555,0.0027642127310358745,0.0,0.0
20,0.5222935676574707,0.10662336349487304,0.11869184671187508,0.12462134063591504,0.1,"(100,)",8,"{'filter__n': 8, 'NN__hidden_layer_sizes': (100,), 'NN__alpha': 0.1}",106,0.0,0.0793650793650793,0.0,0.01639344262295081,0.23529411764705874,0.17910447761193996,0.23529411764705874,0.07874015748031479,0.12499999999999994,0.2695035460992902,0.039563475679897035,0.003906197744887052,0.10531971523143979,0.08924769547159907
21,0.48169670104980467,0.10658597946166992,0.4733368544060789,0.4859281566686013,0.1,"(100,)",9,"{'filter__n': 9, 'NN__hidden_layer_sizes': (100,), 'NN__alpha': 0.1}",68,0.47485007954962694,0.6196171050277322,0.6135080189744749,0.6196171050277322,0.4490112446684762,0.5410202251971608,0.49614395886889456,0.3582473343161785,0.3319002579535683,0.29113901377420276,0.01841519116962077,0.0030461642105966656,0.09032866229493927,0.13640073931443447
22,0.47980852127075196,0.10981206893920899,0.0,0.0,0.1,"(100,)",10,"{'filter__n': 10, 'NN__hidden_layer_sizes': (100,), 'NN__alpha': 0.1}",133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03325433134165958,0.006789408464251991,0.0,0.0
23,0.43869695663452146,0.1120908260345459,0.012857101674882524,0.0032520325203251967,0.1,"(100,)",11,"{'filter__n': 11, 'NN__hidden_layer_sizes': (100,), 'NN__alpha': 0.1}",126,0.0,0.0,0.0,0.0,0.06451612903225805,0.0,0.0,0.016260162601625983,0.0,0.0,0.04497114268460764,0.0076888570269670635,0.0257717940229103,0.0065040650406503935
24,0.4724142074584961,0.10645337104797363,0.0,0.0,0.1,"(100,)",12,"{'filter__n': 12, 'NN__hidden_layer_sizes': (100,), 'NN__alpha': 0.1}",133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026184493985806967,0.0015535960337853358,0.0,0.0
25,0.5151512622833252,0.10803494453430176,0.0,0.0,0.1,"(100,)",13,"{'filter__n': 13, 'NN__hidden_layer_sizes': (100,), 'NN__alpha': 0.1}",133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021614821865059634,0.006584397601140249,0.0,0.0
26,0.45787367820739744,0.10878829956054688,0.0,0.0,0.1,"(100,)",14,"{'filter__n': 14, 'NN__hidden_layer_sizes': (100,), 'NN__alpha': 0.1}",133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06142379855498509,0.004877225571787021,0.0,0.0
27,0.47010498046875,0.10911192893981933,0.0,0.0,0.1,"(100,)",15,"{'filter__n': 15, 'NN__hidden_layer_sizes': (100,), 'NN__alpha': 0.1}",133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029886346950045533,0.004455240542681054,0.0,0.0
28,0.4654219150543213,0.10573992729187012,0.5169016929117165,0.49515903967241687,0.1,"(50,)",2,"{'filter__n': 2, 'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1}",54,0.7600000000000001,0.716609180515602,0.4102564102564105,0.5759402726353476,0.37837837837837834,0.3733333333333325,0.5365853658536585,0.3841059602648999,0.4980645161290322,0.42580645161290237,0.0339354405466061,0.0026816618323087164,0.1346904655935777,0.1323252380462167
29,0.46437573432922363,0.10630102157592773,0.5817690878938717,0.5718114947430575,0.1,"(50,)",3,"{'filter__n': 3, 'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1}",35,0.8798851009146572,0.8859082565243145,0.8842436149312377,0.8763437945158876,0.12499999999999994,0.09374999999999983,0.12499999999999994,0.10852713178294553,0.8893302613807896,0.89452829089214,0.036341925610178405,0.003361918180019184,0.37185245199115896,0.3843743023674846
30,0.42253808975219725,0.10644516944885254,0.0,0.0,0.1,"(50,)",4,"{'filter__n': 4, 'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1}",133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052543929162498615,0.0031402380265644534,0.0,0.0
31,0.46503434181213377,0.10691246986389161,0.0,0.00654897433996632,0.1,"(50,)",5,"{'filter__n': 5, 'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1}",133,0.0,0.0163724358499158,0.0,0.0163724358499158,0.0,0.0,0.0,0.0,0.0,0.0,0.033599564948053315,0.003844327420364333,0.0,0.008020822735748867
32,0.44640240669250486,0.11692743301391602,0.012320923213974223,0.018599615014436948,0.1,"(50,)",6,"{'filter__n': 6, 'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1}",132,0.061276058117498464,0.09299807507218474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067207911820028,0.01049560160790487,0.024559569582467678,0.037199230028873896
