,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
58,0.06403331756591797,0.0009925365447998047,0.8684109692434682,0.8686503687839842,0.1,"(25, 25)",3,"{'NN__alpha': 0.1, 'rp__n_components': 3, 'NN__hidden_layer_sizes': (25, 25)}",148,0.8903166590178982,0.9113635713263697,0.9284764690241957,0.8718794809184116,0.8603546855315437,0.8281638174886236,0.818539836413208,0.8705174801993677,0.8436320286111663,0.8613274939871485,0.014421722267629746,9.547465971931595e-06,0.03811654165797218,0.026574861326911975
59,0.07880253791809082,0.0011962413787841796,0.6988945922588551,0.721544569484433,0.1,"(25, 25)",4,"{'NN__alpha': 0.1, 'rp__n_components': 4, 'NN__hidden_layer_sizes': (25, 25)}",274,0.7770101131470912,0.6354203471225737,0.580370498216546,0.6370879120879112,0.686374749944432,0.8026369393726156,0.852915745989048,0.7781142792515422,0.5981642627249971,0.7544633695875227,0.014227992313167181,0.00039751536485951346,0.10407907604072895,0.07128823265234233
60,0.10278940200805664,0.0010030746459960937,0.37432110186393003,0.34654019391640845,0.1,"(25, 25)",5,"{'NN__alpha': 0.1, 'rp__n_components': 5, 'NN__hidden_layer_sizes': (25, 25)}",340,0.17564508827523778,0.1929031453060361,0.2254830742408835,0.15104736595279025,0.7404092071611252,0.759215281362932,0.456085072863332,0.4130478286972174,0.27709978463747303,0.21648734826306618,0.04626223359682833,1.1302549527032627e-05,0.20570679154933152,0.22514862843756528
61,0.04510684013366699,0.0009969234466552734,0.14267565554203887,0.15547365190979862,0.1,"(25, 25)",6,"{'NN__alpha': 0.1, 'rp__n_components': 6, 'NN__hidden_layer_sizes': (25, 25)}",358,0.22347012239020894,0.17609871855719023,0.062189453438051025,0.15176502925354368,0.12379730596536237,0.16366782006920383,0.12379730596536237,0.14990413107896083,0.18012132524498364,0.13593256059009456,0.0014870044675028768,6.843900725558913e-07,0.05510519543041363,0.01355850626205256
62,0.09839916229248047,0.0013958930969238282,0.6596151657577642,0.6613424450795378,0.1,"(25, 25)",7,"{'NN__alpha': 0.1, 'rp__n_components': 7, 'NN__hidden_layer_sizes': (25, 25)}",283,0.4102564102564105,0.39735099337748325,0.7059830889435942,0.5930232558139527,0.7451737451737451,0.7937155010887728,0.7451737451737451,0.7475094923730269,0.6933093848226315,0.7751129827444534,0.022670802024134327,0.0004880718763921135,0.1268023294629636,0.14983332034679833
63,0.05486631393432617,0.000997781753540039,0.6140377240583111,0.6204046346491519,0.1,"(25, 25)",8,"{'NN__alpha': 0.1, 'rp__n_components': 8, 'NN__hidden_layer_sizes': (25, 25)}",310,0.5540218943360306,0.6533774741142484,0.676252723311547,0.6380020633960644,0.5693215339233038,0.5266201734988937,0.7782258064516129,0.6763733161248684,0.4923469387755102,0.607650146111684,0.003575486499149267,2.132480599880018e-07,0.10111591201594866,0.05193760309856548
64,0.10832409858703614,0.0009974956512451172,0.4911743598229097,0.5222910935550115,0.1,"(25, 25)",9,"{'NN__alpha': 0.1, 'rp__n_components': 9, 'NN__hidden_layer_sizes': (25, 25)}",332,0.0,0.0,0.0,0.0,0.7975206611570247,0.8678372059735674,0.8436320286111663,0.8465389850281935,0.8235294117647058,0.8970792767732962,0.04864139073210676,6.289914111267529e-07,0.4031008853088836,0.42675073896274013
65,0.06786189079284669,0.0009969711303710938,0.3910131871339198,0.4086054105495623,0.1,"(25, 25)",10,"{'NN__alpha': 0.1, 'rp__n_components': 10, 'NN__hidden_layer_sizes': (25, 25)}",339,0.11947652040030803,0.1366515748224825,0.0,0.12298635694681986,0.8679245283018867,0.8598130841121494,0.9090909090909091,0.8755760368663593,0.06451612903225805,0.04799999999999991,0.03753345298608756,3.8738433859996607e-07,0.4069728167982737,0.376091298806468
66,0.07203702926635742,0.0009975910186767578,0.30414060172773305,0.35423578478438883,0.1,"(25, 25)",15,"{'NN__alpha': 0.1, 'rp__n_components': 15, 'NN__hidden_layer_sizes': (25, 25)}",347,0.8518518518518519,0.93859649122807,0.0,0.03243776292737171,0.0,0.03217626273124084,0.0,0.0322171116984744,0.6666666666666666,0.7357512953367873,0.05735686418081491,2.3360154559928684e-07,0.3767998585299412,0.39950065042741034
67,0.12611665725708007,0.0014036178588867187,0.799753363423098,0.8290420241765452,0.1,"(25, 25)",20,"{'NN__alpha': 0.1, 'rp__n_components': 20, 'NN__hidden_layer_sizes': (25, 25)}",225,0.7059830889435942,0.7935479317579569,0.9666666666666667,0.9292035398230086,0.9447919499592059,0.9747899159663865,0.7162973474511516,0.7392648209808574,0.6643717728055077,0.7084039123545158,0.04301268761223673,0.0004974562693696249,0.12885116162492555,0.10502200532462098
68,0.12791790962219238,0.001197052001953125,0.7666926359137979,0.7937713178257171,0.1,"(25, 25)",25,"{'NN__alpha': 0.1, 'rp__n_components': 25, 'NN__hidden_layer_sizes': (25, 25)}",251,0.890316659017898,0.9568965517241377,0.6476741598041399,0.7435777489342906,0.6773415222636543,0.5924141059076986,0.9473684210526316,0.9155555555555555,0.6707211120764554,0.7604126270069027,0.053096115738100434,0.00039889824938326134,0.1259094429729441,0.13085730082532931
69,0.08265476226806641,0.0009977340698242188,0.6196607219066599,0.6384747824147181,0.1,"(25, 25)",30,"{'NN__alpha': 0.1, 'rp__n_components': 30, 'NN__hidden_layer_sizes': (25, 25)}",306,0.8493385362139527,0.8515740858438194,0.405274840057449,0.4365055638598238,0.6886708296164139,0.6204231198648759,0.5651537335285506,0.6525588061714859,0.5897285227406276,0.6313123363335856,0.03240967273143859,4.862803948967729e-07,0.1468611553232463,0.13174095888940734
