,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
11,0.028075408935546876,0.0010081291198730468,0.16299103730718664,0.1823542892571095,0.1,"(50,)",2,"{'pca__n_components': 2, 'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1}",206,0.1764705882352942,0.12388068671247414,0.06250000000000006,0.18023899737685795,0.17286162113748313,0.20259507160752308,0.12439574605220749,0.2159959814701117,0.27950760318609696,0.18906070911858064,0.001614553291748332,2.635171431281383e-05,0.07133610714197121,0.03165459033617768
12,0.06244592666625977,0.0005983352661132812,0.5314486038749268,0.5041149393607667,0.1,"(50,)",3,"{'pca__n_components': 3, 'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1}",172,0.6178343949044587,0.5313171234642146,0.4464331373050373,0.44692414431082306,0.2857142857142857,0.17910447761193996,0.6231549815498155,0.6876520598124705,0.6840939299955694,0.6755768916043856,0.011174649441816606,0.0004885388464116528,0.1459696571761224,0.18586426324365013
13,0.09964432716369628,0.000997161865234375,0.6471452651511196,0.633186440570098,0.1,"(50,)",4,"{'pca__n_components': 4, 'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1}",134,0.5218241838855608,0.616414265473367,0.7457009913008296,0.6890664106695912,0.6795774647887324,0.7156537704571568,0.7563163865112921,0.7046820816987772,0.5325473472971278,0.4401156745515978,0.01695744572781789,2.86102294921875e-07,0.10155240382780224,0.1025599188824445
14,0.03550519943237305,0.0005984306335449219,0.1263713389452605,0.12196267818322404,0.1,"(50,)",5,"{'pca__n_components': 5, 'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1}",211,0.0,0.0,0.0,0.0,0.0,0.0,0.6341234452006571,0.6098133909161202,0.0,0.0,0.016212432856110282,0.0004886166670358715,0.2533087316295486,0.24392535636644808
15,0.09626026153564453,0.0010054588317871093,0.6862192543439224,0.712570873321757,0.1,"(50,)",6,"{'pca__n_components': 6, 'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1}",103,0.6785441031806756,0.7511358562911984,0.7504071661237787,0.7862232930092993,0.6363636363636364,0.648545012994759,0.7333755541481951,0.6818163049013801,0.6318989710009355,0.6951338994121483,0.024808540909001357,1.559585571774255e-05,0.04864979819755453,0.04951997408263346
16,0.05434412956237793,0.0010051250457763672,0.37718278371490443,0.41907039435076354,0.1,"(50,)",7,"{'pca__n_components': 7, 'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1}",182,0.4859110832811523,0.49401257399404014,0.062189453438051025,0.2185756296184586,0.06356001975959161,0.16290371957752917,0.5897285227406277,0.590744301419324,0.686374749944432,0.6291157471444659,0.012742185362907728,1.5427284953401512e-05,0.2645440719434741,0.19236778671988672
17,0.089546537399292,0.000997447967529297,0.7919463823496186,0.8131682921949535,0.1,"(50,)",8,"{'pca__n_components': 8, 'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1}",65,0.6808510638297873,0.7383793674070673,0.7600000000000001,0.744302984914945,0.8210270434518383,0.8026811685847981,0.9065288868013152,0.8864632393329203,0.7926078028747433,0.8940147007350367,0.00743891981110152,1.9073486328124998e-07,0.07397257274233443,0.06686416772696742
18,0.10063304901123046,0.0009943485260009766,0.8501109599499955,0.8798726405755488,0.1,"(50,)",9,"{'pca__n_components': 9, 'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1}",49,0.9122807017543859,0.9292035398230086,0.8518518518518519,0.8886321078954226,0.8679245283018867,0.8538282500121223,0.8679245283018867,0.8638496525735954,0.7499999999999999,0.8638496525735954,0.006595948563629796,3.846157995238453e-06,0.0538657675458509,0.02721047025368271
19,0.10451269149780273,0.001197052001953125,0.9262485085177794,0.9447930890171442,0.1,"(50,)",10,"{'pca__n_components': 10, 'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1}",29,0.8928571428571428,0.9238017535594036,0.9836065573770492,0.9568965517241377,0.9655172413793104,0.9437229437229436,0.9655172413793104,0.9604137612966277,0.8235294117647058,0.9391304347826086,0.013225637342100529,0.00039913698120280013,0.06002513914232511,0.013147975054681278
20,0.09307074546813965,0.0008115291595458985,0.7765080049795294,0.8041403528269481,0.1,"(50,)",11,"{'pca__n_components': 11, 'NN__hidden_layer_sizes': (50,), 'NN__alpha': 0.1}",74,0.32154696132596705,0.4251145737855177,0.9310344827586207,0.9049773755656105,0.9285714285714286,0.8858447488584473,0.9285714285714286,0.9298245614035087,0.7755102040816326,0.8749405045216563,0.01948027506016819,0.00022821290892132207,0.2358762935639932,0.1904276431766895
